"filename", "language", "Go", "Objective-C", "C++", "Markdown", "JSON", "Makefile", "TypeScript", "Shell Script", "PostCSS", "HTML", "JavaScript", "Go Module File", "comment", "blank", "total"
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/.ai-context.md", "Markdown", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 283
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/Makefile", "Makefile", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 14, 20, 99
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/README.md", "Markdown", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 209
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/audiounit_devices.h", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 51
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/audiounit_devices.m", "Objective-C", 0, 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 138, 736
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/audiounit_inspector.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/audiounit_inspector.m", "Objective-C", 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 88, 544
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/dev.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 9, 13, 55
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/device_debug_test.go", "Go", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/devices.go", "Go", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 35, 204
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/devices_test.go", "Go", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 104
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/ai-context.md", "Markdown", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 358
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/architecture/README.md", "Markdown", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 66
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/architecture/device-enumeration-flow.md", "Markdown", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 118
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/architecture/system-architecture.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 190
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/current-state.md", "Markdown", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 165
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/layouts.md", "Markdown", 0, 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 249
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/migration.md", "Markdown", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92, 502
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/docs/tailwind-guide.md", "Markdown", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 115
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/app.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1031, 0, 0, 41, 140, 1212
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/integration-test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 7, 18, 168
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/shoelace-test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 2, 10, 78
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/src/input.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 6, 6, 49
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/sse-test.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 22, 202
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/static/style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3662, 0, 0, 0, 1, 1, 3664
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/static/vue.global.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17771, 0, 333, 124, 18228
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/frontend/static/webaudio-controls.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1952, 0, 29, 10, 1991
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/go.mod", "Go Module File", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/introspection.go", "Go", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 27, 187
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/layout_manager.go", "Go", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 76, 491
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/layout_types.go", "Go", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 33, 219
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/main.go", "Go", 580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 123, 769
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/settings.go", "Go", 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 48, 328
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/sse_test.go", "Go", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 45, 279
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 1, 17
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Archive/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 3, 64
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/Makefile", "Makefile", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 17, 19, 112
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/README.md", "Markdown", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 106
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/cmd/device-test/main.go", "Go", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 87
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/cmd/introspection-test/main.go", "Go", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 80
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/cmd/introspection-test/main_test.go", "Go", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 68
"/Users/shaban/Library/Mobile Documents/com~apple~CloudDocs/Programming/rackless/cmd/server/main.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 29
